Starting SDDP loop (forward and backward passes)
 Iter | Lower Bound (LB)  | Real Cost (Sim)    | UB Mean +- 95% CI
  868 |         114981.69 |           131399.0 |      127244.0 ± 6610.0
  869 |         135301.66 |           127799.0 |      127244.0 ± 6602.0
  870 |         114981.69 |            75750.0 |      127185.0 ± 6596.0
  871 |         114981.69 |            71315.0 |      127121.0 ± 6589.0
  872 |         114981.69 |            81347.0 |      127068.0 ± 6582.0
  873 |         135301.66 |           198745.5 |      127151.0 ± 6577.0
  874 |         135301.66 |           135425.0 |      127160.0 ± 6569.0
  875 |         135301.66 |           188818.0 |      127230.0 ± 6563.0
  876 |         135301.66 |             2086.0 |      127088.0 ± 6562.0
  877 |         135301.66 |            43444.5 |      126992.0 ± 6557.0
  878 |         135301.66 |            72180.0 |      126930.0 ± 6551.0
  879 |         114981.69 |             5686.0 |      126792.0 ± 6549.0
  880 |         114981.69 |           156489.0 |      126826.0 ± 6542.0
  881 |         135301.66 |           208844.0 |      126919.0 ± 6537.0
  882 |         114981.69 |          244333.33 |      127052.0 ± 6535.0
  883 |         114981.69 |           156519.0 |      127085.0 ± 6527.0
  884 |         135301.66 |           315885.0 |      127299.0 ± 6534.0
  885 |         135301.66 |            27283.0 |      127186.0 ± 6530.0
  886 |         114981.69 |              600.0 |      127043.0 ± 6529.0
  887 |         114981.69 |           138995.0 |      127056.0 ± 6521.0
  888 |         114981.69 |            76786.0 |      127000.0 ± 6515.0
  889 |         114981.69 |           201713.0 |      127084.0 ± 6510.0
  890 |         135301.66 |             2086.0 |      126943.0 ± 6508.0
  891 |         135301.66 |           317480.0 |      127157.0 ± 6514.0
  892 |         114981.69 |           131369.0 |      127162.0 ± 6507.0
  893 |         135301.66 |           127799.0 |      127163.0 ± 6500.0
  894 |         114981.69 |            81347.0 |      127111.0 ± 6493.0
  895 |         114981.69 |            31050.0 |      127004.0 ± 6489.0
  896 |         135301.66 |            27480.0 |      126893.0 ± 6486.0
  897 |         135301.66 |           303605.0 |      127090.0 ± 6490.0
  898 |         135301.66 |           104456.0 |      127065.0 ± 6483.0
  899 |         135301.66 |            56050.0 |      126986.0 ± 6478.0
  900 |         135301.66 |            73186.0 |      126926.0 ± 6471.0
  901 |         135301.66 |            64062.0 |      126856.0 ± 6466.0
  902 |         135301.66 |           145226.0 |      126877.0 ± 6459.0
  903 |         135301.66 |           240526.0 |      127002.0 ± 6456.0
  904 |         135301.66 |           111500.0 |      126985.0 ± 6449.0
  905 |         114981.69 |           103184.0 |      126959.0 ± 6442.0
  906 |         114981.69 |          244333.33 |      127089.0 ± 6440.0
  907 |         135301.66 |            86650.0 |      127044.0 ± 6434.0
  908 |         135301.66 |            70479.0 |      126982.0 ± 6428.0
  909 |         114981.69 |           265155.0 |      127134.0 ± 6428.0
  910 |         135301.66 |            80233.0 |      127082.0 ± 6421.0
  911 |         135301.66 |           115075.5 |      127069.0 ± 6414.0
  912 |         135301.66 |            77315.0 |      127014.0 ± 6408.0
  913 |         135301.66 |           189755.0 |      127083.0 ± 6402.0
  914 |         135301.66 |           191350.0 |      127153.0 ± 6397.0
  915 |         114981.69 |             5686.0 |      127021.0 ± 6395.0
  916 |         135301.66 |           317480.0 |      127229.0 ± 6401.0
  917 |         135301.66 |            77315.0 |      127174.0 ± 6395.0
  918 |         114981.69 |            22909.0 |      127061.0 ± 6392.0
  919 |         135301.66 |            77315.0 |      127006.0 ± 6386.0
  920 |         114981.69 |             4680.0 |      126874.0 ± 6384.0
  921 |         135301.66 |            33356.0 |      126772.0 ± 6381.0
  922 |         135301.66 |           315885.0 |      126977.0 ± 6386.0
  923 |         135301.66 |           145226.0 |      126997.0 ± 6379.0
  924 |         114981.69 |            76756.0 |      126942.0 ± 6373.0
  925 |         135301.66 |           287698.0 |      127116.0 ± 6376.0
  926 |         114981.69 |          173233.33 |      127166.0 ± 6370.0
  927 |         135301.66 |           317480.0 |      127371.0 ± 6375.0
  928 |         135301.66 |           145226.0 |      127391.0 ± 6369.0
  929 |         135301.66 |            56050.0 |      127314.0 ± 6364.0
  930 |         135301.66 |           208250.0 |      127401.0 ± 6359.0
  931 |         114981.69 |            27000.0 |      127293.0 ± 6356.0
  932 |         114981.69 |              215.0 |      127157.0 ± 6354.0
  933 |         114981.69 |              600.0 |      127021.0 ± 6353.0
  934 |         114981.69 |           156519.0 |      127053.0 ± 6347.0
  935 |         114981.69 |              215.0 |      126917.0 ± 6345.0
  936 |         135301.66 |             1080.0 |      126782.0 ± 6344.0
  937 |         135301.66 |           185530.0 |      126845.0 ± 6339.0
  938 |         135301.66 |           198355.0 |      126921.0 ± 6334.0
  939 |         114981.69 |           207385.0 |      127007.0 ± 6329.0
  940 |         114981.69 |           265155.0 |      127154.0 ± 6329.0
  941 |         114981.69 |            13068.0 |      127033.0 ± 6327.0
  942 |         114981.69 |           211820.0 |      127123.0 ± 6322.0
  943 |         114981.69 |           156519.0 |      127154.0 ± 6316.0
  944 |         114981.69 |          173233.33 |      127203.0 ± 6310.0
  945 |         114981.69 |            31555.0 |      127102.0 ± 6306.0
  946 |         135301.66 |            84066.0 |      127056.0 ± 6300.0
  947 |         114981.69 |            99545.0 |      127027.0 ± 6294.0
  948 |         135301.66 |            64062.0 |      126961.0 ± 6289.0
  949 |         135301.66 |            70479.0 |      126901.0 ± 6283.0
  950 |         135301.66 |            84066.0 |      126856.0 ± 6277.0
  951 |         135301.66 |            27283.0 |      126751.0 ± 6274.0
  952 |         135301.66 |           207249.0 |      126836.0 ± 6270.0
  953 |         114981.69 |            29201.0 |      126733.0 ± 6266.0
  954 |         135301.66 |             2086.0 |      126603.0 ± 6265.0
  955 |         114981.69 |            76786.0 |      126551.0 ± 6259.0
  956 |         114981.69 |           211820.0 |      126640.0 ± 6255.0
  957 |         114981.69 |           131369.0 |      126645.0 ± 6248.0
  958 |         135301.66 |           240526.0 |      126764.0 ± 6246.0
  959 |         114981.69 |            22909.0 |      126655.0 ± 6243.0
  960 |         135301.66 |           179483.0 |      126710.0 ± 6238.0
  961 |         114981.69 |             4650.0 |      126583.0 ± 6236.0
  962 |         135301.66 |           152919.0 |      126611.0 ± 6230.0
  963 |         135301.66 |           189755.0 |      126676.0 ± 6225.0
  964 |         135301.66 |            80233.0 |      126628.0 ± 6219.0
  965 |         114981.69 |           103214.0 |      126604.0 ± 6213.0
  966 |         135301.66 |           127799.0 |      126605.0 ± 6206.0
  967 |         114981.69 |            13068.0 |      126488.0 ± 6204.0
  968 |         135301.66 |           324485.0 |      126692.0 ± 6211.0
  969 |         114981.69 |            27374.0 |      126590.0 ± 6208.0
  970 |         135301.66 |           324485.0 |      126794.0 ± 6214.0
  971 |         114981.69 |            84168.0 |      126750.0 ± 6208.0
  972 |         114981.69 |            29231.0 |      126650.0 ± 6205.0
  973 |         135301.66 |           198355.0 |      126723.0 ± 6200.0
  974 |         135301.66 |            86650.0 |      126682.0 ± 6194.0
  975 |         114981.69 |           156519.0 |      126713.0 ± 6188.0
  976 |         135301.66 |           179483.0 |      126767.0 ± 6183.0
  977 |         135301.66 |           261555.0 |      126905.0 ± 6183.0
  978 |         114981.69 |           108595.5 |      126886.0 ± 6176.0
  979 |         114981.69 |           265125.0 |      127027.0 ± 6176.0
  980 |         135301.66 |            43444.5 |      126942.0 ± 6172.0
  981 |         135301.66 |           189755.0 |      127006.0 ± 6167.0
  982 |         114981.69 |            39468.0 |      126917.0 ± 6163.0
  983 |         114981.69 |             5656.0 |      126793.0 ± 6162.0
  984 |         114981.69 |            26615.0 |      126692.0 ± 6159.0
  985 |         114981.69 |           265125.0 |      126832.0 ± 6159.0
  986 |         114981.69 |            22909.0 |      126727.0 ± 6156.0
  987 |         135301.66 |           207249.0 |      126808.0 ± 6152.0
  988 |         135301.66 |           182401.0 |      126865.0 ± 6147.0
  989 |         135301.66 |           135425.0 |      126873.0 ± 6140.0
  990 |         135301.66 |            27480.0 |      126773.0 ± 6137.0
  991 |         114981.69 |           136940.0 |      126783.0 ± 6131.0
  992 |         135301.66 |           127799.0 |      126784.0 ± 6125.0
  993 |         135301.66 |            70624.5 |      126728.0 ± 6120.0
  994 |         135301.66 |           207249.0 |      126809.0 ± 6116.0
  995 |         135301.66 |           104456.0 |      126786.0 ± 6110.0
  996 |         114981.69 |            39468.0 |      126698.0 ± 6106.0
  997 |         114981.69 |            27344.0 |      126599.0 ± 6103.0
  998 |         114981.69 |           156519.0 |      126629.0 ± 6097.0
  999 |         135301.66 |           261555.0 |      126764.0 ± 6097.0
 1000 |         114981.69 |              215.0 |      126637.0 ± 6096.0
