Starting SDDP loop (forward and backward passes)
 Iter | Lower Bound (LB)  | Real Cost (Sim)    | UB Mean +- 95% CI
  165 |         114981.69 |           230949.0 |     122310.0 ± 15387.0
  166 |         114981.69 |           103184.0 |     122194.0 ± 15296.0
  167 |         135301.66 |           111500.0 |     122130.0 ± 15204.0
  168 |         135301.66 |           127799.0 |     122164.0 ± 15114.0
  169 |         114981.69 |          493333.33 |     124360.0 ± 15629.0
  170 |         135301.66 |           321099.0 |     125518.0 ± 15701.0
  171 |         114981.69 |           211820.0 |     126022.0 ± 15640.0
  172 |         114981.69 |           211820.0 |     126521.0 ± 15580.0
  173 |         114981.69 |            31080.0 |     125969.0 ± 15527.0
  174 |         114981.69 |            99545.0 |     125818.0 ± 15441.0
  175 |         135301.66 |            43444.5 |     125347.0 ± 15380.0
  176 |         135301.66 |           287698.0 |     126269.0 ± 15399.0
  177 |         114981.69 |             4680.0 |     125582.0 ± 15371.0
  178 |         135301.66 |            35660.0 |     125077.0 ± 15316.0
  179 |         135301.66 |           114544.5 |     125018.0 ± 15231.0
  180 |         135301.66 |            84066.0 |     124791.0 ± 15152.0
  181 |         114981.69 |            31555.0 |     124276.0 ± 15102.0
  182 |         135301.66 |           104456.0 |     124167.0 ± 15020.0
  183 |         114981.69 |            31555.0 |     123661.0 ± 14971.0
  184 |         114981.69 |           103214.0 |     123550.0 ± 14891.0
  185 |         135301.66 |            77315.0 |     123300.0 ± 14818.0
  186 |         135301.66 |           169359.0 |     123547.0 ± 14747.0
  187 |         114981.69 |           131369.0 |     123589.0 ± 14668.0
  188 |         135301.66 |           188818.0 |     123936.0 ± 14605.0
  189 |         135301.66 |           182401.0 |     124245.0 ± 14540.0
  190 |         114981.69 |           230949.0 |     124807.0 ± 14506.0
  191 |         114981.69 |            76786.0 |     124556.0 ± 14438.0
  192 |         114981.69 |            27374.0 |     124049.0 ± 14397.0
  193 |         114981.69 |            39468.0 |     123611.0 ± 14348.0
  194 |         135301.66 |           198745.5 |     123998.0 ± 14294.0
  195 |         135301.66 |           317480.0 |     124991.0 ± 14353.0
  196 |         135301.66 |           145226.0 |     125094.0 ± 14281.0
  197 |         114981.69 |            71700.0 |     124823.0 ± 14218.0
  198 |         135301.66 |           287698.0 |     125646.0 ± 14237.0
  199 |         114981.69 |            75750.0 |     125395.0 ± 14174.0
  200 |         114981.69 |            13068.0 |     124833.0 ± 14146.0
  201 |         114981.69 |           136940.0 |     124893.0 ± 14076.0
  202 |         114981.69 |              215.0 |     124276.0 ± 14058.0
  203 |         114981.69 |            84168.0 |     124079.0 ± 13994.0
  204 |         114981.69 |            27374.0 |     123605.0 ± 13956.0
  205 |         114981.69 |             5656.0 |     123029.0 ± 13934.0
  206 |         114981.69 |            39468.0 |     122624.0 ± 13889.0
  207 |         114981.69 |           211850.0 |     123055.0 ± 13847.0
  208 |         114981.69 |              215.0 |     122464.0 ± 13829.0
  209 |         114981.69 |            13068.0 |     121941.0 ± 13801.0
  210 |         135301.66 |           198355.0 |     122304.0 ± 13754.0
  211 |         114981.69 |           131369.0 |     122347.0 ± 13689.0
  212 |         135301.66 |            77777.0 |     122137.0 ± 13630.0
  213 |         135301.66 |           324485.0 |     123087.0 ± 13693.0
  214 |         135301.66 |           215849.0 |     123521.0 ± 13655.0
  215 |         135301.66 |            56050.0 |     123207.0 ± 13606.0
  216 |         135301.66 |             1080.0 |     122641.0 ± 13588.0
  217 |         114981.69 |            83374.0 |     122460.0 ± 13530.0
  218 |         135301.66 |            35660.0 |     122062.0 ± 13490.0
  219 |         114981.69 |            31585.0 |     121649.0 ± 13453.0
  220 |         135301.66 |           324485.0 |     122571.0 ± 13513.0
  221 |         114981.69 |             4650.0 |     122038.0 ± 13492.0
  222 |         135301.66 |            89663.0 |     121892.0 ± 13434.0
  223 |         135301.66 |           131890.0 |     121937.0 ± 13374.0
  224 |         114981.69 |           227330.0 |     122407.0 ± 13346.0
  225 |         114981.69 |            33545.5 |     122012.0 ± 13309.0
  226 |         114981.69 |            81377.0 |     121832.0 ± 13255.0
  227 |         135301.66 |           321099.0 |     122710.0 ± 13308.0
  228 |         135301.66 |            35660.0 |     122328.0 ± 13271.0
  229 |         114981.69 |           136910.0 |     122392.0 ± 13213.0
  230 |         135301.66 |           208844.0 |     122768.0 ± 13176.0
  231 |         114981.69 |            29201.0 |     122363.0 ± 13143.0
  232 |         135301.66 |           198355.0 |     122690.0 ± 13102.0
  233 |         114981.69 |           156519.0 |     122836.0 ± 13049.0
  234 |         135301.66 |            77777.0 |     122643.0 ± 12998.0
  235 |         114981.69 |          173233.33 |     122858.0 ± 12950.0
  236 |         135301.66 |           208844.0 |     123223.0 ± 12915.0
  237 |         135301.66 |            73186.0 |     123012.0 ± 12867.0
  238 |         114981.69 |           132860.0 |     123053.0 ± 12813.0
  239 |         135301.66 |           165616.0 |     123231.0 ± 12764.0
  240 |         135301.66 |           207249.0 |     123581.0 ± 12729.0
  241 |         135301.66 |           240526.0 |     124066.0 ± 12712.0
  242 |         135301.66 |            98383.0 |     123960.0 ± 12661.0
  243 |         114981.69 |            31080.0 |     123578.0 ± 12631.0
  244 |         135301.66 |            56050.0 |     123301.0 ± 12591.0
  245 |         135301.66 |            98383.0 |     123200.0 ± 12541.0
  246 |         114981.69 |           139025.0 |     123264.0 ± 12490.0
  247 |         135301.66 |            43975.5 |     122943.0 ± 12456.0
  248 |         114981.69 |           136940.0 |     122999.0 ± 12406.0
  249 |         135301.66 |           115075.5 |     122967.0 ± 12356.0
  250 |         114981.69 |           136940.0 |     123023.0 ± 12307.0
  251 |         135301.66 |           208844.0 |     123365.0 ± 12276.0
  252 |         135301.66 |           207249.0 |     123698.0 ± 12245.0
  253 |         114981.69 |           339585.0 |     124551.0 ± 12310.0
  254 |         135301.66 |           317480.0 |     125311.0 ± 12352.0
  255 |         114981.69 |            76786.0 |     125121.0 ± 12309.0
  256 |         114981.69 |             5656.0 |     124654.0 ± 12295.0
  257 |         114981.69 |          493333.33 |     126089.0 ± 12566.0
  258 |         135301.66 |           198745.5 |     126370.0 ± 12529.0
  259 |         114981.69 |           265155.0 |     126906.0 ± 12525.0
  260 |         114981.69 |            27374.0 |     126523.0 ± 12499.0
  261 |         135301.66 |            33356.0 |     126166.0 ± 12470.0
  262 |         135301.66 |            73186.0 |     125964.0 ± 12429.0
  263 |         135301.66 |             1080.0 |     125489.0 ± 12417.0
  264 |         135301.66 |           127799.0 |     125498.0 ± 12370.0
  265 |         114981.69 |            27374.0 |     125128.0 ± 12344.0
  266 |         114981.69 |           103184.0 |     125045.0 ± 12299.0
  267 |         135301.66 |            77315.0 |     124866.0 ± 12258.0
  268 |         135301.66 |           110053.0 |     124811.0 ± 12212.0
  269 |         135301.66 |            86650.0 |     124669.0 ± 12170.0
  270 |         135301.66 |           321099.0 |     125397.0 ± 12208.0
  271 |         135301.66 |            70624.5 |     125195.0 ± 12170.0
  272 |         114981.69 |           139025.0 |     125246.0 ± 12125.0
  273 |         114981.69 |          493333.33 |     126594.0 ± 12366.0
  274 |         135301.66 |            33356.0 |     126254.0 ± 12339.0
  275 |         114981.69 |            31585.0 |     125909.0 ± 12313.0
  276 |         135301.66 |           317480.0 |     126603.0 ± 12343.0
  277 |         135301.66 |            56050.0 |     126349.0 ± 12309.0
  278 |         135301.66 |           131890.0 |     126369.0 ± 12264.0
  279 |         135301.66 |           135425.0 |     126401.0 ± 12221.0
  280 |         135301.66 |            43975.5 |     126107.0 ± 12191.0
  281 |         135301.66 |            84066.0 |     125957.0 ± 12151.0
  282 |         135301.66 |            35660.0 |     125637.0 ± 12124.0
  283 |         114981.69 |           213455.0 |     125947.0 ± 12096.0
  284 |         135301.66 |           114544.5 |     125907.0 ± 12054.0
  285 |         135301.66 |            27985.0 |     125564.0 ± 12030.0
  286 |         135301.66 |            64062.0 |     125348.0 ± 11995.0
  287 |         114981.69 |            31585.0 |     125022.0 ± 11971.0
  288 |         135301.66 |            61144.0 |     124800.0 ± 11937.0
  289 |         114981.69 |             5686.0 |     124388.0 ± 11923.0
  290 |         135301.66 |            27480.0 |     124054.0 ± 11900.0
  291 |         114981.69 |            31585.0 |     123736.0 ± 11875.0
  292 |         135301.66 |            35660.0 |     123434.0 ± 11849.0
  293 |         114981.69 |           145328.0 |     123509.0 ± 11810.0
  294 |         135301.66 |            89663.0 |     123394.0 ± 11772.0
  295 |         135301.66 |           429735.0 |     124432.0 ± 11907.0
  296 |         114981.69 |            31050.0 |     124117.0 ± 11883.0
  297 |         114981.69 |           201713.0 |     124378.0 ± 11854.0
  298 |         114981.69 |           136910.0 |     124420.0 ± 11814.0
  299 |         135301.66 |           315885.0 |     125060.0 ± 11841.0
  300 |         135301.66 |            70479.0 |     124879.0 ± 11807.0
  301 |         135301.66 |            86650.0 |     124752.0 ± 11770.0
  302 |         114981.69 |            99545.0 |     124668.0 ± 11733.0
  303 |         135301.66 |           240526.0 |     125050.0 ± 11718.0
  304 |         135301.66 |            27283.0 |     124729.0 ± 11696.0
  305 |         135301.66 |            27985.0 |     124412.0 ± 11674.0
  306 |         114981.69 |            27344.0 |     124094.0 ± 11653.0
  307 |         114981.69 |            35744.0 |     123807.0 ± 11628.0
  308 |         114981.69 |           211820.0 |     124092.0 ± 11604.0
  309 |         135301.66 |           208250.0 |     124365.0 ± 11579.0
  310 |         114981.69 |            31585.0 |     124065.0 ± 11556.0
  311 |         114981.69 |          493333.33 |     125253.0 ± 11752.0
  312 |         114981.69 |              215.0 |     124852.0 ± 11740.0
  313 |         135301.66 |           182401.0 |     125036.0 ± 11708.0
  314 |         135301.66 |           287698.0 |     125554.0 ± 11715.0
  315 |         135301.66 |           179483.0 |     125725.0 ± 11683.0
  316 |         135301.66 |           115075.5 |     125691.0 ± 11646.0
  317 |         114981.69 |           132860.0 |     125714.0 ± 11609.0
  318 |         114981.69 |           156519.0 |     125811.0 ± 11574.0
  319 |         114981.69 |              600.0 |     125418.0 ± 11563.0
  320 |         135301.66 |           131890.0 |     125439.0 ± 11527.0
  321 |         114981.69 |           339585.0 |     126106.0 ± 11565.0
  322 |         135301.66 |           104456.0 |     126039.0 ± 11530.0
  323 |         114981.69 |           131399.0 |     126055.0 ± 11494.0
  324 |         114981.69 |            29201.0 |     125756.0 ± 11474.0
  325 |         135301.66 |           169359.0 |     125890.0 ± 11442.0
  326 |         114981.69 |            27374.0 |     125588.0 ± 11422.0
  327 |         114981.69 |            98749.0 |     125506.0 ± 11388.0
  328 |         114981.69 |           265155.0 |     125932.0 ± 11384.0
  329 |         135301.66 |           315885.0 |     126509.0 ± 11405.0
  330 |         114981.69 |           108595.5 |     126455.0 ± 11371.0
  331 |         114981.69 |           131399.0 |     126470.0 ± 11337.0
  332 |         135301.66 |            99614.0 |     126389.0 ± 11304.0
  333 |         114981.69 |            99545.0 |     126308.0 ± 11271.0
  334 |         135301.66 |           185530.0 |     126486.0 ± 11243.0
  335 |         135301.66 |           315885.0 |     127051.0 ± 11264.0
  336 |         114981.69 |          173233.33 |     127188.0 ± 11233.0
  337 |         135301.66 |           189755.0 |     127374.0 ± 11206.0
  338 |         114981.69 |            83374.0 |     127244.0 ± 11175.0
  339 |         135301.66 |            89663.0 |     127133.0 ± 11145.0
  340 |         135301.66 |            39366.0 |     126875.0 ± 11123.0
  341 |         135301.66 |           198745.5 |     127086.0 ± 11098.0
  342 |         135301.66 |           208250.0 |     127323.0 ± 11076.0
  343 |         135301.66 |           198355.0 |     127530.0 ± 11051.0
  344 |         135301.66 |           215849.0 |     127787.0 ± 11030.0
  345 |         135301.66 |           133340.0 |     127803.0 ± 10998.0
  346 |         114981.69 |             4680.0 |     127447.0 ± 10988.0
  347 |         114981.69 |             4650.0 |     127093.0 ± 10979.0
  348 |         135301.66 |           287698.0 |     127555.0 ± 10984.0
  349 |         135301.66 |           185530.0 |     127721.0 ± 10958.0
  350 |         114981.69 |           132860.0 |     127736.0 ± 10926.0
  351 |         114981.69 |            31585.0 |     127462.0 ± 10908.0
  352 |         114981.69 |            33545.5 |     127195.0 ± 10890.0
  353 |         114981.69 |           230949.0 |     127489.0 ± 10874.0
  354 |         114981.69 |            76912.0 |     127346.0 ± 10847.0
  355 |         135301.66 |            99614.0 |     127268.0 ± 10818.0
  356 |         114981.69 |           118694.0 |     127244.0 ± 10787.0
  357 |         114981.69 |          244333.33 |     127572.0 ± 10776.0
  358 |         114981.69 |            71700.0 |     127416.0 ± 10750.0
  359 |         135301.66 |            72180.0 |     127262.0 ± 10725.0
  360 |         135301.66 |           240526.0 |     127576.0 ± 10713.0
  361 |         114981.69 |             4650.0 |     127236.0 ± 10704.0
  362 |         114981.69 |           339585.0 |     127822.0 ± 10736.0
  363 |         114981.69 |            76912.0 |     127682.0 ± 10710.0
  364 |         114981.69 |           211850.0 |     127913.0 ± 10690.0
  365 |         114981.69 |             4650.0 |     127576.0 ± 10681.0
  366 |         135301.66 |            84066.0 |     127457.0 ± 10654.0
  367 |         114981.69 |            96416.0 |     127372.0 ± 10627.0
  368 |         135301.66 |           115075.5 |     127339.0 ± 10598.0
  369 |         135301.66 |           429735.0 |     128158.0 ± 10691.0
  370 |         135301.66 |             1080.0 |     127815.0 ± 10683.0
  371 |         135301.66 |            25631.0 |     127539.0 ± 10668.0
  372 |         135301.66 |           303605.0 |     128013.0 ± 10679.0
  373 |         135301.66 |           185530.0 |     128167.0 ± 10655.0
  374 |         114981.69 |           132860.0 |     128180.0 ± 10626.0
  375 |         135301.66 |           185530.0 |     128332.0 ± 10602.0
  376 |         114981.69 |             5686.0 |     128006.0 ± 10593.0
  377 |         135301.66 |            84066.0 |     127890.0 ± 10568.0
  378 |         135301.66 |            35660.0 |     127646.0 ± 10551.0
  379 |         114981.69 |            71700.0 |     127498.0 ± 10527.0
  380 |         114981.69 |           156519.0 |     127574.0 ± 10500.0
  381 |         114981.69 |           131399.0 |     127585.0 ± 10472.0
  382 |         114981.69 |           156489.0 |     127660.0 ± 10446.0
  383 |         135301.66 |            77315.0 |     127529.0 ± 10422.0
  384 |         135301.66 |           321099.0 |     128033.0 ± 10442.0
  385 |         135301.66 |            59756.0 |     127855.0 ± 10420.0
  386 |         114981.69 |           211820.0 |     128073.0 ± 10402.0
  387 |         114981.69 |            27000.0 |     127812.0 ± 10388.0
  388 |         135301.66 |           215849.0 |     128039.0 ± 10370.0
  389 |         135301.66 |            77315.0 |     127908.0 ± 10347.0
  390 |         114981.69 |            35744.0 |     127672.0 ± 10331.0
  391 |         114981.69 |           265155.0 |     128024.0 ± 10327.0
  392 |         135301.66 |           240526.0 |     128311.0 ± 10316.0
  393 |         135301.66 |           179483.0 |     128441.0 ± 10293.0
  394 |         114981.69 |           145328.0 |     128484.0 ± 10267.0
  395 |         114981.69 |           230949.0 |     128743.0 ± 10254.0
  396 |         135301.66 |           115075.5 |     128709.0 ± 10228.0
  397 |         114981.69 |             4650.0 |     128396.0 ± 10221.0
  398 |         114981.69 |           265125.0 |     128740.0 ± 10217.0
  399 |         135301.66 |           207249.0 |     128936.0 ± 10199.0
  400 |         114981.69 |            22909.0 |     128671.0 ± 10187.0
  401 |         114981.69 |           136940.0 |     128692.0 ± 10161.0
  402 |         114981.69 |            22909.0 |     128429.0 ± 10149.0
  403 |         135301.66 |           152919.0 |     128490.0 ± 10125.0
  404 |         114981.69 |              215.0 |     128172.0 ± 10119.0
  405 |         135301.66 |            61144.0 |     128007.0 ± 10099.0
  406 |         114981.69 |           103184.0 |     127945.0 ± 10075.0
  407 |         114981.69 |           136910.0 |     127967.0 ± 10050.0
  408 |         135301.66 |           188818.0 |     128117.0 ± 10029.0
  409 |         114981.69 |            33545.5 |     127885.0 ± 10015.0
  410 |         135301.66 |           317480.0 |     128348.0 ± 10032.0
  411 |         135301.66 |            80233.0 |     128231.0 ± 10010.0
  412 |         114981.69 |           207385.0 |      128423.0 ± 9993.0
  413 |         114981.69 |           108595.5 |      128375.0 ± 9969.0
  414 |         114981.69 |           131399.0 |      128382.0 ± 9945.0
  415 |         114981.69 |            13068.0 |      128104.0 ± 9936.0
  416 |         135301.66 |           240526.0 |      128375.0 ± 9926.0
  417 |         114981.69 |           156489.0 |      128442.0 ± 9903.0
  418 |         135301.66 |           189755.0 |      128589.0 ± 9884.0
  419 |         135301.66 |           220136.0 |      128807.0 ± 9869.0
  420 |         135301.66 |            64062.0 |      128653.0 ± 9850.0
  421 |         135301.66 |            86650.0 |      128553.0 ± 9829.0
  422 |         114981.69 |            22909.0 |      128303.0 ± 9818.0
  423 |         114981.69 |           227330.0 |      128537.0 ± 9805.0
  424 |         135301.66 |           189755.0 |      128681.0 ± 9786.0
  425 |         135301.66 |            73186.0 |      128551.0 ± 9767.0
  426 |         114981.69 |           201713.0 |      128723.0 ± 9749.0
  427 |         135301.66 |           131890.0 |      128730.0 ± 9727.0
  428 |         135301.66 |            77777.0 |      128611.0 ± 9707.0
  429 |         135301.66 |            59756.0 |      128450.0 ± 9689.0
  430 |         135301.66 |           182401.0 |      128576.0 ± 9670.0
  431 |         135301.66 |            12966.0 |      128308.0 ± 9661.0
  432 |         135301.66 |           110053.0 |      128265.0 ± 9639.0
